# Gaia_G_Mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-53.913423564 3.45885266983 1.08015931823 -0.0894877569326 -0.591412486667 -0.835480333224 -0.739623740157 4000.0 5.0 -0.5 0.0
-53.7892192967 3.49741909882 1.09638048691 -0.0862152614631 -0.596283031075 -0.845401746913 -0.752503143528 4000.0 5.0 -0.5 0.1
-53.5410254217 3.57460005027 1.12896061718 -0.0794828563064 -0.605820768309 -0.86503430064 -0.77804945478 4000.0 5.0 -0.5 0.3
-53.2931143621 3.65183597507 1.16172158351 -0.0725039027563 -0.615090754369 -0.884389878947 -0.803315814557 4000.0 5.0 -0.5 0.5
-52.9217692356 3.76776767761 1.2111946189 -0.0615818535004 -0.62850248899 -0.912912712666 -0.840699212647 4000.0 5.0 -0.5 0.8
-53.924240834 3.34452812543 1.0515390344 -0.0937970813269 -0.582511283236 -0.819980115299 -0.723515862664 4000.0 5.0 -1.0 0.0
-53.7999212564 3.38311305764 1.06766852213 -0.0906525534386 -0.587477146391 -0.830016548985 -0.736510946318 4000.0 5.0 -1.0 0.1
-53.179402038 3.57630526466 1.14901094934 -0.07398773994 -0.611284750935 -0.87914197113 -0.800418555471 4000.0 5.0 -1.0 0.6
-52.8079350288 3.69238640267 1.19835679476 -0.0632531895361 -0.624770295129 -0.907790198881 -0.837927167073 4000.0 5.0 -1.0 0.9
-53.6719086305 3.33263019697 1.06038518517 -0.0857107632728 -0.586784436201 -0.834348262555 -0.744364124453 4000.0 5.0 -1.5 0.2
-53.5476607475 3.37119927456 1.07656458642 -0.0825183067228 -0.591679115327 -0.844316037369 -0.757289556443 4000.0 5.0 -1.5 0.3
-53.4234853267 3.40978840096 1.09279079409 -0.0792624988674 -0.596505144027 -0.854212813854 -0.770143251108 4000.0 5.0 -1.5 0.4
-53.299381845 3.44839631823 1.10906335905 -0.0759438560113 -0.601263040335 -0.864039108156 -0.782925726481 4000.0 5.0 -1.5 0.5
-53.1753497835 3.48702174147 1.12538184364 -0.0725628835537 -0.605953324913 -0.873795444316 -0.795637501335 4000.0 5.0 -1.5 0.6
-52.9274978552 3.56431980264 1.15815482913 -0.0656159884321 -0.615133109695 -0.893100289616 -0.820850997004 4000.0 5.0 -1.5 0.8
-52.8036769638 3.60298971603 1.17460846499 -0.0620510671389 -0.61962363467 -0.902649822834 -0.833353731831 4000.0 5.0 -1.5 0.9
-53.8952068052 3.55075355134 1.11817484733 -0.0601401296529 -0.612141643681 -0.881179911863 -0.787889856989 4000.0 5.5 -0 0.0
-53.6473416274 3.62804868859 1.15113926759 -0.0530048115191 -0.621455069844 -0.900482924874 -0.813104981359 4000.0 5.5 -0 0.2
-53.5235154019 3.66671572553 1.1676890014 -0.0493443563904 -0.626010962363 -0.910030258983 -0.825607247033 4000.0 5.5 -0 0.3
-53.3997593927 3.70539375863 1.18428315624 -0.0456227178706 -0.630500327771 -0.919508834094 -0.838040005158 4000.0 5.5 -0 0.4
-53.2760730877 3.74408126738 1.20092130063 -0.0418404029522 -0.634923682228 -0.928919165149 -0.850403759284 4000.0 5.5 -0 0.5
-53.1524559713 3.78277668476 1.21760299261 -0.0379979137142 -0.639281535301 -0.938261762535 -0.862699030423 4000.0 5.5 -0 0.6
-52.9054272736 3.86018477718 1.25109529458 -0.0301344099355 -0.647802763267 -0.956745789403 -0.887086123664 4000.0 5.5 -0 0.8
-52.7820146825 3.89889411817 1.26790505115 -0.0261143866689 -0.65196714493 -0.965888226038 -0.899178953014 4000.0 5.5 -0 0.9
-53.9217743409 3.48312356729 1.09558024165 -0.0849410350891 -0.59799420567 -0.844213899081 -0.747437939017 4000.0 5.5 -0.5 0.0
-53.7976371082 3.52181399585 1.1118439724 -0.0815961044165 -0.602808069539 -0.854068260937 -0.760249594389 4000.0 5.5 -0.5 0.1
-53.549575897 3.59923803685 1.14450806082 -0.0747201926995 -0.612233786721 -0.873568114285 -0.785661809842 4000.0 5.5 -0.5 0.3
-53.425650904 3.63796886032 1.16090755644 -0.0711902112979 -0.61684665225 -0.883214616738 -0.798263377611 4000.0 5.5 -0.5 0.4
-52.9306432928 3.79298329221 1.22694527165 -0.0564682821097 -0.634643171887 -0.921122841887 -0.847984364277 4000.0 5.5 -0.5 0.8
-52.8070619962 3.83175199112 1.24356253003 -0.0526397342895 -0.63893104068 -0.930432927674 -0.860245759012 4000.0 5.5 -0.5 0.9
-53.6802876403 3.49165754482 1.10780569405 -0.085279418635 -0.60003555554 -0.848939446742 -0.757759523683 4000.0 5.5 -1.0 0.2
-53.5562001926 3.53040351483 1.124077689 -0.0819166439124 -0.604786943305 -0.858746789203 -0.770523198639 4000.0 5.5 -1.0 0.3
-53.432183451 3.56916333628 1.14039505849 -0.0784922324039 -0.609471401848 -0.868484886486 -0.783216886708 4000.0 5.5 -1.0 0.4
-53.3082369101 3.60793563965 1.15675737211 -0.0750066850908 -0.614089429182 -0.878154242135 -0.795841087811 4000.0 5.5 -1.0 0.5
-53.1843600689 3.6467189979 1.17316420863 -0.0714604918169 -0.618641530863 -0.887755355427 -0.808396302346 4000.0 5.5 -1.0 0.6
-52.9368134895 3.7243130486 1.20610976094 -0.0641881273647 -0.627549940736 -0.906754849655 -0.833301746697 4000.0 5.5 -1.0 0.8
-53.927659841 3.36502500383 1.05785005836 -0.0934412012274 -0.584959935751 -0.821562381828 -0.724961779383 4000.0 5.5 -1.5 0.0
-53.8033646187 3.40371146821 1.07398729072 -0.0902746288118 -0.589902107228 -0.831574571663 -0.737932272378 4000.0 5.5 -1.5 0.1
-53.6791416869 3.44241606198 1.09017128658 -0.0870448727375 -0.594775783613 -0.84151593407 -0.750831201481 4000.0 5.5 -1.5 0.2
